Density Total;Richness Total;Density;Richness
1;1;0;0
8;4;0,903089987;0,602059991
25;7;1,397,940,009;0,84509804
5;3;0,698970004;0,477121255
3;2;0,477121255;0,301029996
10;5;1;0,698970004
2;1;0,301029996;0
3;2;0,477121255;0,301029996
2;2;0,301029996;0,301029996
4;2;0,602059991;0,301029996
1;1;0;0
2;2;0,301029996;0,301029996
1;1;0;0
1;1;0;0
3;2;0,477121255;0,301029996
3;2;0,477121255;0,301029996
2;1;0,301029996;0
1;1;0;0
1;1;0;0
6;3;0,77815125;0,477121255
8;4;0,903089987;0,602059991
4;3;0,602059991;0,477121255
2;1;0,301029996;0
3;1;0,477121255;0
8;3;0,903089987;0,477121255
2;1;0,301029996;0
1;1;0;0
3;2;0,477121255;0,301029996
4;3;0,602059991;0,477121255
3;2;0,477121255;0,301029996
3;1;0,477121255;0
1;1;0;0
1;1;0;0
1;1;0;0
1;1;0;0
2;1;0,301029996;0
3;2;0,477121255;0,301029996
2;2;0,301029996;0,301029996
1;1;0;0
1;1;0;0
2;2;0,301029996;0,301029996
2;2;0,301029996;0,301029996
2;1;0,301029996;0
1;1;0;0
2;1;0,301029996;0
3;1;0,477121255;0
1;1;0;0
5;3;0,698970004;0,477121255
2;2;0,301029996;0,301029996
1;1;0;0
2;1;0,301029996;0
1;1;0;0
9;4;0,954242509;0,602059991
2;1;0,301029996;0
4;2;0,602059991;0,301029996
2;1;0,301029996;0
1;1;0;0
2;1;0,301029996;0
4;2;0,602059991;0,301029996
6;2;0,77815125;0,301029996
1;1;0;0
4;1;0,602059991;0
1;1;0;0
1;1;0;0
3;2;0,477121255;0,301029996
1;1;0;0
5;3;0,698970004;0,477121255
1;1;0;0
3;1;0,477121255;0
7;2;0,84509804;0,301029996
1;1;0;0
1;1;0;0
2;2;0,301029996;0,301029996
5;2;0,698970004;0,301029996
8;5;0,903089987;0,698970004
1;1;0;0
1;1;0;0
3;1;0,477121255;0
5;2;0,698970004;0,301029996
5;2;0,698970004;0,301029996
